Episode,Epsilon,Average_Reward,Winrate
5100,0.2793864300369309,180.0,18.0
5200,0.27248750283450524,170.0,17.0
5300,0.2657589317819404,220.0,22.0
5400,0.25919651025160484,190.0,19.0
5500,0.2527961354906968,230.0,23.0
5600,0.24655380605624905,170.0,17.0
5700,0.24046561931347057,240.0,24.0
5800,0.2345277689958637,190.0,19.0
5900,0.22873654282558803,340.0,34.0
6000,0.22308832019258593,190.0,19.0
6100,0.2175795698910176,240.0,24.0
6200,0.21220684791159014,200.0,20.0
6300,0.2069667952884017,230.0,23.0
6400,0.20185613599895336,240.0,24.0
6500,0.19687167491601654,250.0,25.0
6600,0.19201029581007473,310.0,31.0
6700,0.1872689594010916,250.0,25.0
6800,0.18264470145838715,270.0,27.0
6900,0.17813463094743343,320.0,32.0
7000,0.17373592822241254,270.0,27.0
7100,0.16944584326340498,290.0,28.999999999999996
7200,0.16526169395710788,300.0,30.0
7300,0.16118086442000784,300.0,30.0
7400,0.15720080336295972,340.0,34.0
7500,0.1533190224961491,310.0,31.0
7600,0.14953309497344097,270.0,27.0
7700,0.1458406538751428,340.0,34.0
7800,0.14223939072823263,260.0,26.0
7900,0.1387270540631278,240.0,24.0
8000,0.13530144800609065,320.0,32.0
8100,0.13196043090639323,320.0,32.0
8200,0.1287019139973809,270.0,27.0
8300,0.12552386009059874,340.0,34.0
8400,0.12242428230216422,290.0,28.999999999999996
8500,0.11940124281058902,240.0,24.0
8600,0.11645285164527537,370.0,37.0
8700,0.11357726550492689,260.0,26.0
8800,0.11077268660513752,360.0,36.0
8900,0.10803736155443654,310.0,31.0
9000,0.10536958025808767,300.0,30.0
9100,0.10276767484895734,420.0,42.0
9200,0.10023001864478243,360.0,36.0
9300,0.09775502513118654,370.0,37.0
9400,0.09534114696980918,260.0,26.0
9500,0.0929868750309268,390.0,39.0
9600,0.09069073744996187,340.0,34.0
9700,0.08845129870728961,330.0,33.0
9800,0.08626715873076704,430.0,43.0
9900,0.0841369520204233,370.0,37.0
10000,0.08205934679476454,370.0,37.0
10100,0.08003304415815897,480.0,48.0
10200,0.07805677728878144,440.0,44.0
10300,0.07612931064661105,350.0,35.0
10400,0.07424943920098508,430.0,43.0
10500,0.07241598767722708,330.0,33.0
10600,0.07062780982187848,510.0,51.0
10700,0.06888378768607357,450.0,45.0
10800,0.06718283092661055,470.0,47.0
10900,0.06552387612428068,410.0,41.0
11000,0.06390588611903089,500.0,50.0
11100,0.06232784936154264,480.0,48.0
11200,0.06078877928082256,450.0,45.0
11300,0.05928771366740935,440.0,44.0
11400,0.05782371407181108,480.0,48.0
11500,0.05639586521779706,570.0,56.99999999999999
11600,0.055003274430177336,460.0,46.0
11700,0.05364507107671213,500.0,50.0
11800,0.05232040602380221,420.0,42.0
11900,0.051028451105620036,480.0,48.0
12000,0.04976839860634985,530.0,53.0
12100,0.048539460755212524,450.0,45.0
12200,0.04734086923396023,570.0,56.99999999999999
12300,0.04617187469653238,460.0,46.0
12400,0.045031746300572745,480.0,48.0
12500,0.04391977125051505,490.0,49.0
12600,0.04283525435195114,540.0,54.0
12700,0.041777517577003195,490.0,49.0
12800,0.04074589964042801,530.0,53.0
12900,0.039739755586189245,540.0,54.0
13000,0.03875845638423779,500.0,50.0
13100,0.03780138853724933,610.0,61.0
13200,0.03686795369707253,560.0,56.00000000000001
13300,0.03595756829064861,540.0,54.0
13400,0.03506966315516785,430.0,43.0
13500,0.03420368318223534,600.0,60.0
13600,0.03335908697082348,460.0,46.0
13700,0.03253534648879412,540.0,54.0
